State,Year,numberFires,AreaEstados
Acre,2011,1912,164123.964 
Acre,2012,3180,164123.964 
Acre,2013,3242,164123.964 
Acre,2014,3829,164123.964 
Acre,2015,5512,164123.964 
Acre,2016,6993,164123.964 
Acre,2017*,7042,164123.964 
Alagoas,2011,232,27843.295 
Alagoas,2012,352,27843.295 
Alagoas,2013,208,27843.295 
Alagoas,2014,190,27843.295 
Alagoas,2015,590,27843.295 
Alagoas,2016,400,27843.295 
Alagoas,2017*,121,27843.295 
Amapá,2011,1100,142470.762 
Amapá,2012,2103,142470.762 
Amapá,2013,975,142470.762 
Amapá,2014,1490,142470.762
Amapá,2015,2653,142470.762
Amapá,2016,2653,142470.762
Amapá,2017*,1465,142470.762 
Amazonas,2011,4188,1559167.889 
Amazonas,2012,7745,1559167.889 
Amazonas,2013,5118,1559167.889 
Amazonas,2014,9288,1559167.889 
Amazonas,2015,15170,1559167.889 
Amazonas,2016,12023,1559167.889 
Amazonas,2017*,14798,1559167.889 
Bahia,2011,13061,564760.427 
Bahia,2012,17378,564760.427 
Bahia,2013,7217,564760.427 
Bahia,2014,7819,564760.427 
Bahia,2015,18397,564760.427 
Bahia,2016,6751,564760.427 
Bahia,2017*,8249,564760.427 
Ceará,2011,3773,148894.441 
Ceará,2012,4040,148894.441 
Ceará,2013,2898,148894.441 
Ceará,2014,2512,148894.441 
Ceará,2015,3420,148894.441 
Ceará,2016,4424,148894.441 
Ceará,2017*,2555,148894.441 
Distrito Federal,2011,273,5760.783 
Distrito Federal,2012,173,5760.783 
Distrito Federal,2013,101,5760.783 
Distrito Federal,2014,251,5760.783 
Distrito Federal,2015,172,5760.783 
Distrito Federal,2016,242,5760.783 
Distrito Federal,2017*,410,5760.783
Espírito Santo,2011,326,46074.447 
Espírito Santo,2012,352,46074.447 
Espírito Santo,2013,250,46074.447 
Espírito Santo,2014,347,46074.447 
Espírito Santo,2015,1031,46074.447 
Espírito Santo,2016,654,46074.447 
Espírito Santo,2017*,234,46074.447 
Goiás,2011,5677,340203.329
Goiás,2012,6154,340203.329
Goiás,2013,2979,340203.329
Goiás,2014,6454,340203.329
Goiás,2015,6861,340203.329
Goiás,2016,5275,340203.329
Goiás,2017*,8705,340203.329
Maranhão,2011,14955,329642.182
Maranhão,2012,31594,329642.182
Maranhão,2013,16189,329642.182
Maranhão,2014,25435,329642.182
Maranhão,2015,30137,329642.182
Maranhão,2016,21766,329642.182
Maranhão,2017*,30916,329642.182
Mato Grosso do Sul,2011,3607,357145.534
Mato Grosso do Sul,2012,7546,357145.534
Mato Grosso do Sul,2013,3565,357145.534
Mato Grosso do Sul,2014,2439,357145.534
Mato Grosso do Sul,2015,5309,357145.534
Mato Grosso do Sul,2016,6967,357145.534
Mato Grosso do Sul,2017*,7336,357145.534
Mato Grosso,2011,15973,903207.019
