State,Year,numberFires,AreaEstados
Acre,2017*,7042,164123.964 
Alagoas,2017*,121,27843.295 
Amapá,2017*,1465,142470.762 
Amazonas,2017*,14798,1559167.889
Bahia,2017*,8249,564760.427 
Ceará,2017*,2555,148894.441 
Distrito Federal,2017*,410,5760.783
Espírito Santo,2017*,234,46074.447 
Goiás,2017*,8705,340203.329
Maranhão,2017*,30916,329642.182
Mato Grosso do Sul,2017*,7336,357145.534
Mato Grosso,2017*,43607,903207.019
Minas Gerais,2017*,11473,586521.123
Pará,2017*,59771,1245870.798
Paraíba,2017*,294,56467.242
Paraná,2017*,4463,199298.979
Pernambuco,2017*,522,98067.881
Piauí,2017*,9478,251756.515
Rio de Janeiro,2017*,1397,43750.427
Rio Grande do Norte,2017*,299,52809.602
Rio Grande do Sul,2017*,2575,281707.156
Rondônia,2017*,14084,237765.24
Roraima,2017*,1101,223644.527
Santa Catarina,2017*,2354,95730.684
São Paulo,2017*,5406,248219.481
Sergipe,2017*,75,21925.424
Tocantins,2017*,22317,277466.763
